"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"194","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","162","170","95%","15","15","100%","8","8","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"195","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","813","1219","67%","130","143","91%","15","26","58%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"196","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","RD7","372","410","91%","24","25","96%","11","11","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"197","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RQX","158","160","99%","158","160","99%","29","30","97%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"198","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","298","323","92%","30","31","97%","12","12","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"199","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","67","103","65%","67","67","100%","8","8","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"200","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","478","495","97%","78","79","99%","47","47","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"201","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","378","402","94%","101","102","99%","74","79","94%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"202","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","32","33","97%","4","4","100%","1","1","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"203","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","4","4","100%","0","0","-","0","0","-"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"204","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","299","305","98%","19","20","95%","10","10","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"205","MEDWAY NHS FOUNDATION TRUST","RPA","274","296","93%","45","46","98%","40","40","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"206","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","218","230","95%","25","25","100%","25","25","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"207","MID STAFFORDSHIRE NHS FOUNDATION TRUST","RJD","145","156","93%","9","9","100%","7","7","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"208","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","223","291","77%","23","23","100%","3","14","21%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"209","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RP6","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"210","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","640","673","95%","45","47","96%","45","45","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"211","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","413","413","100%","27","27","100%","13","13","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"212","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL","485","508","95%","27","27","100%","16","16","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"213","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","350","355","99%","37","43","86%","3","3","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"214","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","16","16","100%","0","0","-","0","0","-"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"215","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","529","569","93%","335","335","100%","98","99","99%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"216","POOLE HOSPITAL NHS FOUNDATION TRUST","RD3","544","602","90%","583","595","98%","584","589","99%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"217","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","8","8","100%","1","1","100%","1","1","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"218","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","412","447","92%","116","116","100%","53","53","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"219","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","19","21","90%","3","3","100%","0","0","-"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"220","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","479","538","89%","469","469","100%","230","231","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"221","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","153","170","90%","153","153","100%","53","53","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"222","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","191","203","94%","33","36","92%","32","34","94%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"223","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","235","236","100%","34","35","97%","0","0","-"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"224","SALISBURY NHS FOUNDATION TRUST","RNZ","122","146","84%","21","21","100%","15","16","94%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"225","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","750","764","98%","237","237","100%","142","142","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"226","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","593","620","96%","17","17","100%","10","10","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"227","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9","123","435","28%","9","34","26%","6","6","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"228","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","520","557","93%","83","92","90%","25","27","93%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"229","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","284","301","94%","113","123","92%","26","28","93%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"230","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","130","276","47%","0","0","-","0","0","-"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"231","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","366","369","99%","181","181","100%","117","117","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"232","STOCKPORT NHS FOUNDATION TRUST","RWJ","451","478","94%","16","17","94%","10","10","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"233","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","299","325","92%","8","8","100%","2","2","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"234","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","269","393","68%","50","50","100%","13","13","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"235","THE CHRISTIE NHS FOUNDATION TRUST","RBV","16","17","94%","1","1","100%","1","1","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"236","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","12","12","100%","1","1","100%","1","1","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"237","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","512","545","94%","113","113","100%","63","69","91%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"238","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","116","218","53%","1","14","7%","1","1","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"239","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","422","467","90%","30","30","100%","23","24","96%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"240","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","260","278","94%","48","48","100%","48","48","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"241","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RL1","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"242","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","234","239","98%","85","91","93%","0","6","0%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"243","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","479","568","84%","49","104","47%","12","18","67%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"244","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","20","20","100%","0","0","-","0","0","-"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"245","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","6","6","100%","0","0","-","0","0","-"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"246","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","1","1","100%","0","0","-","0","0","-"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"247","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","112","113","99%","21","21","100%","21","21","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"248","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","294","298","99%","60","60","100%","55","55","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"249","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","594","616","96%","126","126","100%","75","75","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"250","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","531","540","98%","37","38","97%","9","9","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"251","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7","161","308","52%","36","46","78%","13","23","57%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"252","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","139","355","39%","3","13","23%","0","4","0%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"253","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","400","418","96%","44","44","100%","10","10","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"254","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","354","374","95%","15","15","100%","12","12","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"255","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","699","767","91%","76","81","94%","51","51","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"256","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RBL","649","649","100%","236","236","100%","64","64","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"257","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","317","365","87%","23","23","100%","13","13","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"258","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","112","291","38%","4","4","100%","4","4","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"259","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","675","748","90%","122","122","100%","103","103","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"260","","Total "," 29,835 "," 34,083 ","87.5%"," 6,003 "," 6,308 ","95.2%"," 3,001 "," 3,093 ","97.0%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"261","","","","","","","","","","",""," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"262","","","","","","","","","","",""," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"263","","","","","","","","","","",""," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"264","Non-Foundation Trusts",""," May 2014 ","","","","","","","",""," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"265","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases further assessed","Number of cases referred","Number of cases with positive or inconclusive diagnostic assessment","Percentage of cases referred"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"266","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","577","863","67%","108","130","83%","75","110","68%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"267","BARNET AND CHASE FARM HOSPITALS NHS TRUST","RVL","231","388","60%","4","33","12%","1","1","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"268","BARTS HEALTH NHS TRUST","R1H","459","679","68%","56","77","73%","42","75","56%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"269","BEDFORD HOSPITAL NHS TRUST","RC1","202","220","92%","20","20","100%","11","12","92%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"270","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","175","175","100%","37","37","100%","35","35","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"271","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","293","374","78%","74","74","100%","75","75","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"272","CROYDON HEALTH SERVICES NHS TRUST","RJ6","330","338","98%","56","61","92%","53","54","98%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"273","DARTFORD AND GRAVESHAM NHS TRUST","RN7","188","208","90%","19","19","100%","15","15","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"274","EALING HOSPITAL NHS TRUST","RC3","71","77","92%","0","0","-","0","0","-"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"275","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","395","395","100%","225","240","94%","64","72","89%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"276","EAST CHESHIRE NHS TRUST","RJN","286","289","99%","43","45","96%","23","24","96%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"277","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","495","518","96%","101","106","95%","27","27","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"278","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","407","449","91%","48","51","94%","37","39","95%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"279","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","339","359","94%","50","54","93%","23","23","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"280","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","221","241","92%","15","15","100%","8","8","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"281","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","206","206","100%","7","7","100%","19","19","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"282","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","506","560","90%","48","48","100%","42","43","98%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"283","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","283","312","91%","177","178","99%","41","43","95%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"284","IPSWICH HOSPITAL NHS TRUST","RGQ","370","379","98%","57","57","100%","39","39","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"285","ISLE OF WIGHT NHS TRUST","R1F","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"286","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","835","848","98%","74","76","97%","64","64","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"287","LEWISHAM AND GREENWICH NHS TRUST","RJ2","481","481","100%","68","68","100%","29","29","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"288","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","483","485","100%","55","55","100%","86","86","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"289","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","302","317","95%","24","25","96%","9","9","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"290","MID YORKSHIRE HOSPITALS NHS TRUST","RXF","645","800","81%","77","120","64%","60","63","95%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
