"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"931","UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST","RJE","683","683","100.00%","271","271","100.00%","88","88","100.00%"," September 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"932","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","485","499","97.19%","57","57","100.00%","55","55","100.00%"," September 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"933","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","771","831","92.78%","269","272","98.90%","76","76","100.00%"," September 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"934","WALSALL HEALTHCARE NHS TRUST","RBK","390","397","98.24%","100","100","100.00%","9","9","100.00%"," September 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"935","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","607","621","97.75%","27","30","90.00%","5","5","100.00%"," September 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"936","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RFW","215","237","90.72%","31","33","93.94%","16","16","100.00%"," September 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"937","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","203","730","27.81%","23","27","85.19%","26","26","100.00%"," September 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"938","WYE VALLEY NHS TRUST","RLQ","198","214","92.52%","6","6","100.00%","3","3","100.00%"," September 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"939","","Total ","17,933","22,279","80.49%","3,692","4,071","90.69%","1,676","1,883","89.01%"," September 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"940","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","141","375","37.60%","4","10","40.00%","1","1","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"941","AIREDALE NHS FOUNDATION TRUST","RCF","244","270","90.37%","58","62","93.55%","2","2","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"942","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","336","339","99.12%","52","52","100.00%","41","41","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"943","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","296","373","79.36%","0","0","","0","0",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"944","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","119","129","92.25%","119","129","92.25%","6","6","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"945","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"946","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","282","527","53.51%","27","42","64.29%","1","18","5.56%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"947","BOLTON NHS FOUNDATION TRUST","RMC","235","237","99.16%","27","27","100.00%","24","24","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"948","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","359","359","100.00%","2","2","100.00%","2","2","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"949","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","325","333","97.60%","4","4","100.00%","4","4","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"950","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","443","456","97.15%","62","62","100.00%","37","39","94.87%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"951","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","544","576","94.44%","59","60","98.33%","56","56","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"952","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","393","417","94.24%","18","19","94.74%","8","8","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"953","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","RQM","148","157","94.27%","35","35","100.00%","35","35","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"954","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","331","335","98.81%","50","50","100.00%","32","32","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"955","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","201","202","99.50%","52","52","100.00%","26","26","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"956","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","505","513","98.44%","182","182","100.00%","88","88","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"957","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","285","300","95.00%","19","20","95.00%","14","14","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"958","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","590","652","90.49%","37","40","92.50%","20","22","90.91%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"959","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","549","554","99.10%","51","56","91.07%","12","13","92.31%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"960","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","712","789","90.24%","0","0","","0","0",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"961","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","88","349","25.21%","17","19","89.47%","16","16","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"962","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","740","746","99.20%","87","94","92.55%","103","103","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"963","FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST","RDU","274","274","100.00%","26","26","100.00%","23","23","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"964","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","276","298","92.62%","42","46","91.30%","24","24","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"965","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","589","699","84.26%","57","57","100.00%","23","23","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"966","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","331","409","80.93%","86","165","52.12%","33","39","84.62%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"967","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","180","209","86.12%","51","63","80.95%","25","25","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"968","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","305","519","58.77%","-","-","","-","-",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"969","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","164","176","93.18%","25","25","100.00%","20","20","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"970","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","483","1219","39.62%","165","174","94.83%","22","33","66.67%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"971","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","RD7","329","365","90.14%","40","44","90.91%","10","10","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"972","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RQX","-","-","","-","-","","-","-",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"973","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","205","223","91.93%","26","27","96.30%","12","12","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"974","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","199","221","90.05%","103","199","51.76%","26","44","59.09%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"975","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","375","563","66.61%","101","119","84.87%","68","85","80.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"976","KINGSTON HOSPITAL NHS FOUNDATION TRUST","RAX","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"977","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","361","378","95.50%","109","109","100.00%","94","96","97.92%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"978","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","39","39","100.00%","4","5","80.00%","1","2","50.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"979","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","3","4","75.00%","0","0","","0","0",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"980","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","315","318","99.06%","25","27","92.59%","9","9","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"981","MEDWAY NHS FOUNDATION TRUST","RPA","213","317","67.19%","39","42","92.86%","23","28","82.14%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"982","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","235","261","90.04%","26","26","100.00%","26","26","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"983","MID STAFFORDSHIRE NHS FOUNDATION TRUST","RJD","186","198","93.94%","20","22","90.91%","8","8","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"984","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","47","158","29.75%","7","7","100.00%","3","6","50.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"985","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","593","644","92.08%","56","56","100.00%","56","56","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"986","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","348","406","85.71%","81","81","100.00%","23","23","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"987","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"988","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","421","466","90.34%","57","68","83.82%","8","8","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"989","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","19","21","90.48%","0","0","","0","0",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"990","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","500","549","91.07%","302","307","98.37%","58","64","90.63%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"991","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","8","9","88.89%","0","0","","0","0",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"992","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","400","436","91.74%","120","125","96.00%","51","51","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"993","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","20","20","100.00%","1","1","100.00%","0","0",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"994","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","135","512","26.37%","47","133","35.34%","57","57","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"995","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","180","208","86.54%","180","180","100.00%","69","69","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"996","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","214","221","96.83%","83","87","95.40%","30","32","93.75%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"997","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","230","231","99.57%","40","40","100.00%","2","2","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"998","SALISBURY NHS FOUNDATION TRUST","RNZ","105","118","89%","8","9","89%","7","7","100%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"999","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","641","657","97.56%","220","221","99.55%","136","136","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1000","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","119","524","22.71%","26","27","96.30%","7","7","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1001","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9","133","360","36.94%","25","39","64.10%","10","10","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1002","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","498","539","92.39%","85","91","93.41%","25","27","92.59%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1003","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","210","285","73.68%","40","103","38.83%","15","15","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1004","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","278","302","92.05%","0","0","","0","0",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1005","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","325","346","93.93%","140","140","100.00%","68","68","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1006","STOCKPORT NHS FOUNDATION TRUST","RWJ","16","516","3.10%","3","4","75.00%","2","3","66.67%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1007","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","128","406","31.53%","1","10","10.00%","0","1","0.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1008","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","214","472","45.34%","23","23","100.00%","3","3","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1009","THE CHRISTIE NHS FOUNDATION TRUST","RBV","24","25","96.00%","1","1","100.00%","1","1","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1010","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","13","15","86.67%","0","1","0.00%","0","0",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1011","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","486","539","90.17%","113","113","100.00%","36","38","94.74%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1012","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","124","235","52.77%","14","25","56.00%","2","3","66.67%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1013","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","506","557","90.84%","51","55","92.73%","49","51","96.08%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1014","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","271","292","92.81%","62","62","100.00%","62","62","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1015","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","165","262","62.98%","56","67","83.58%","2","2","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1016","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","373","541","68.95%","53","79","67.09%","24","28","85.71%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1017","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","20","20","100.00%","1","1","100.00%","0","0",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1018","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","6","7","85.71%","0","0","","0","0",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1019","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","5","5","100.00%","0","0","","1","1","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1020","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","101","104","97.12%","14","14","100.00%","9","9","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1021","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","311","316","98.42%","56","58","96.55%","36","36","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1022","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","602","634","94.95%","135","135","100.00%","64","66","96.97%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1023","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","516","528","97.73%","45","45","100.00%","4","4","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
