"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"790","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","334","363","92%","53","53","100%","22","22","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"791","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","310","457","68%","24","55","44%","12","17","71%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"792","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","RAN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"793","ROYAL UNITED HOSPITAL BATH NHS TRUST","RD1","572","645","89%","59","59","100%","9","9","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"794","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","132","133","99%","11","12","92%","1","3","33%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"795","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","497","528","94%","40","40","100%","6","7","86%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"796","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","91","271","34%","3","29","10%","0","0","-"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"797","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","345","361","96%","43","43","100%","9","10","90%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"798","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","505","558","91%","108","111","97%","108","108","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"799","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","268","295","91%","192","192","100%","37","55","67%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"800","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","449","452","99%","32","32","100%","32","32","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"801","THE WHITTINGTON HOSPITAL NHS TRUST","RKE","161","174","93%","27","28","96%","18","18","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"802","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","696","897","78%","441","602","73%","88","88","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"803","UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST","RJE","793","798","99%","155","155","100%","52","52","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"804","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","449","485","93%","56","56","100%","53","53","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"805","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","829","883","94%","244","245","100%","67","67","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"806","WALSALL HEALTHCARE NHS TRUST","RBK","307","363","85%","52","53","98%","30","32","94%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"807","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","629","632","100%","29","32","91%","22","22","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"808","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RFW","180","200","90%","19","19","100%","19","19","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"809","WESTON AREA HEALTH NHS TRUST","RA3","-","-","-","-","-","-","-","-","-"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"810","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","299","659","45%","60","79","76%","35","35","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"811","WYE VALLEY NHS TRUST","RLQ","147","162","91%","3","3","100%","3","3","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"812","","Total "," 20,903 "," 24,352 ","85.8%"," 4,373 "," 4,907 ","89.1%"," 1,890 "," 1,998 ","94.6%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"813","","","","","","","","","","",""," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"814","","","","","","","","","","",""," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"815","","","","","","","","","","",""," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"816","","","","","","","","","","",""," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"817","","","","","","","","","","",""," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"818","","","","","","","","","","",""," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"819","","","","","","","","","","",""," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"820","","","","","","","","","","",""," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"821","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","287","364","79%","29","38","76%","3","3","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"822","AIREDALE NHS FOUNDATION TRUST","RCF","204","219","93%","20","21","95%","4","4","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"823","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","335","347","97%","52","52","100%","48","48","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"824","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","234","244","96%","45","46","98%","9","9","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"825","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","452","454","100%","452","454","100%","9","10","90%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"826","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"827","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","310","472","66%","15","16","94%","7","7","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"828","BOLTON NHS FOUNDATION TRUST","RMC","259","259","100%","26","26","100%","18","18","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"829","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","323","323","100%","5","5","100%","5","5","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"830","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","352","358","98%","4","4","100%","2","2","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"831","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","436","439","99%","87","87","100%","49","49","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"832","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","567","587","97%","66","66","100%","58","58","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"833","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","351","371","95%","12","12","100%","8","8","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"834","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","RQM","138","152","91%","36","36","100%","36","36","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"835","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","256","256","100%","39","39","100%","24","24","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"836","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","263","263","100%","56","56","100%","44","44","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"837","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","483","483","100%","158","158","100%","77","77","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"838","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","238","255","93%","10","11","91%","6","6","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"839","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","580","641","90%","31","38","82%","8","8","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"840","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","495","543","91%","15","46","33%","4","7","57%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"841","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","656","728","90%","10","10","100%","6","6","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"842","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","83","264","31%","31","31","100%","15","15","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"843","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","515","517","100%","66","72","92%","42","42","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"844","FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST","RDU","345","347","99%","60","60","100%","50","50","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"845","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","266","271","98%","50","50","100%","36","36","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"846","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","519","609","85%","62","62","100%","27","27","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"847","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","414","429","97%","63","63","100%","31","31","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"848","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","174","186","94%","55","60","92%","30","30","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"849","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","538","547","98%","142","142","100%","30","34","88%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"850","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","155","158","98%","19","19","100%","16","16","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"851","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","969","1154","84%","161","171","94%","19","26","73%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"852","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","RD7","341","375","91%","19","20","95%","10","10","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"853","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","333","356","94%","33","34","97%","5","5","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"854","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","79","84","94%","84","84","100%","12","12","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"855","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","498","530","94%","143","145","99%","127","127","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"856","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","372","399","93%","117","117","100%","100","105","95%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"857","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","26","32","81%","5","6","83%","1","1","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"858","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","4","4","100%","0","0","-","0","0","-"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"859","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","290","297","98%","31","33","94%","15","15","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"860","MEDWAY NHS FOUNDATION TRUST","RPA","229","251","91%","59","65","91%","45","45","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"861","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","165","181","91%","24","24","100%","24","24","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"862","MID STAFFORDSHIRE NHS FOUNDATION TRUST","RJD","157","165","95%","18","19","95%","17","17","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"863","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","216","235","92%","29","29","100%","18","18","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"864","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RP6","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"865","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","641","666","96%","60","63","95%","60","60","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"866","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","345","359","96%","39","39","100%","13","13","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"867","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL","396","432","92%","28","28","100%","21","21","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"868","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","387","397","97%","41","45","91%","0","0","-"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"869","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","11","11","100%","1","1","100%","0","0","-"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"870","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","510","548","93%","255","255","100%","57","57","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"871","POOLE HOSPITAL NHS FOUNDATION TRUST","RD3","611","620","99%","611","611","100%","52","52","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"872","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","5","5","100%","0","0","-","0","0","-"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"873","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","386","401","96%","112","117","96%","84","86","98%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"874","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","22","24","92%","1","1","100%","0","0","-"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"875","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","486","532","91%","372","372","100%","198","198","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"876","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","535","608","88%","185","224","83%","75","75","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"877","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","259","285","91%","38","40","95%","19","20","95%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"878","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","253","253","100%","31","31","100%","3","3","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"879","SALISBURY NHS FOUNDATION TRUST","RNZ","86","113","76%","14","14","100%","12","12","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"880","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","678","705","96%","206","206","100%","109","109","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"881","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","594","613","97%","11","11","100%","2","2","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"882","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9","158","351","45%","7","37","19%","2","3","67%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"883","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","502","533","94%","96","102","94%","34","35","97%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"884","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","235","243","97%","101","104","97%","14","14","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"885","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","211","229","92%","36","39","92%","36","39","92%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"886","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","344","347","99%","144","144","100%","105","105","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"887","STOCKPORT NHS FOUNDATION TRUST","RWJ","457","463","99%","14","14","100%","11","11","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
