"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","month","url"
"936","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","32","33","97%","1","1","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"937","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","6","6","100%","0","0","-","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"938","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","326","361","90%","58","62","94%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"939","MEDWAY NHS FOUNDATION TRUST","RPA","263","292","90%","43","44","98%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"940","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","182","193","94%","17","17","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"941","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","184","204","90%","50","50","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"942","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RP6","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"943","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","591","611","97%","48","49","98%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"944","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","411","411","100%","27","27","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"945","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL","462","539","86%","30","30","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"946","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","287","317","91%","29","32","91%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"947","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","16","16","100%","0","0","-","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"948","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","313","315","99%","284","284","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"949","POOLE HOSPITAL NHS FOUNDATION TRUST","RD3","602","606","99%","99","99","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"950","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","11","12","92%","0","0","-","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"951","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","442","484","91%","84","84","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"952","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","21","21","100%","2","2","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"953","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","470","499","94%","462","462","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"954","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","475","611","78%","195","219","89%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"955","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","222","245","91%","21","23","91%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"956","ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST","RD1","539","599","90%","35","37","95%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"957","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","295","295","100%","43","43","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"958","SALISBURY NHS FOUNDATION TRUST","RNZ","87","108","81%","13","13","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"959","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","737","758","97%","218","218","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"960","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","452","480","94%","18","18","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"961","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9","202","283","71%","39","49","80%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"962","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","445","478","93%","43","46","93%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"963","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","144","280","51%","12","19","63%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"964","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","203","216","94%","38","40","95%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"965","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","407","412","99%","81","81","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"966","STOCKPORT NHS FOUNDATION TRUST","RWJ","375","388","97%","17","18","94%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"967","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","336","341","99%","4","4","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"968","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","179","344","52%","22","22","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"969","THE CHRISTIE NHS FOUNDATION TRUST","RBV","23","26","88%","1","1","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"970","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","493","497","99%","63","63","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"971","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","163","165","99%","20","25","80%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"972","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","238","264","90%","10","11","91%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"973","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","248","263","94%","35","35","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"974","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RL1","1","2","50%","0","0","-","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"975","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","311","320","97%","41","41","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"976","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","481","542","89%","59","108","55%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"977","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","9","9","100%","1","1","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"978","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","4","6","67%","0","0","-","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"979","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","8","8","100%","1","1","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"980","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"981","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","303","307","99%","40","42","95%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"982","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","543","559","97%","95","95","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"983","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","536","547","98%","40","41","98%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"984","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7","329","361","91%","55","59","93%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"985","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","320","336","95%","23","23","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"986","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","318","337","94%","24","24","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"987","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","339","367","92%","15","15","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"988","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","786","851","92%","93","101","92%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"989","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RBL","615","637","97%","206","207","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"990","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","321","327","98%","30","30","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"991","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","95","293","32%","12","12","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"992","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","738","763","97%","78","78","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"993","ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST","RJ7","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"994","","Total ","30666","33497","91.55%","5450","5699","95.63%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"995","","","","","","","","","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"996","Non-Foundation Trusts","","September 2015","","","","","","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"997","Org name","Org code","Number of cases identified","Number of emergency admissions","Percentage of cases identified","Number of cases with diagnostic assessment ","Number of cases with positive case finding question","Percentage of cases with diagnostic assessment","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"998","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","519","535","97%","61","64","95%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"999","BARTS HEALTH NHS TRUST","R1H","631","742","85%","94","103","91%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1000","BEDFORD HOSPITAL NHS TRUST","RC1","214","234","91%","10","10","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1001","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","136","145","94%","28","28","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1002","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","408","431","95%","77","77","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1003","CROYDON HEALTH SERVICES NHS TRUST","RJ6","363","376","97%","32","35","91%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1004","DARTFORD AND GRAVESHAM NHS TRUST","RN7","166","171","97%","27","28","96%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1005","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","349","349","100%","85","85","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1006","EAST CHESHIRE NHS TRUST","RJN","221","232","95%","14","14","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1007","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","503","539","93%","110","112","98%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1008","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","418","466","90%","65","67","97%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1009","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","337","352","96%","61","64","95%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1010","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","175","190","92%","71","71","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1011","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","171","171","100%","28","28","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1012","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","441","490","90%","48","48","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1013","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","336","357","94%","167","176","95%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1014","IPSWICH HOSPITAL NHS TRUST","RGQ","357","360","99%","68","68","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1015","ISLE OF WIGHT NHS TRUST","R1F","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1016","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","588","588","100%","24","24","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1017","LEWISHAM AND GREENWICH NHS TRUST","RJ2","520","520","100%","92","92","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1018","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","539","551","98%","107","107","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1019","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","357","395","90%","13","14","93%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1020","MID YORKSHIRE HOSPITALS NHS TRUST","RXF","398","402","99%","113","113","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1021","NORTH BRISTOL NHS TRUST","RVJ","586","623","94%","14","15","93%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1022","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RNL","215","496","43%","130","133","98%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1023","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","608","671","91%","302","336","90%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1024","LONDON NORTHWEST HEALTHCARE NHS TRUST","R1K","589","691","85%","75","75","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1025","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","339","350","97%","59","59","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1026","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","245","258","95%","49","49","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1027","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","882","1024","86%","156","156","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1028","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH","309","723","43%","225","268","84%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1029","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","447","481","93%","43","45","96%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1030","PORTSMOUTH HOSPITALS NHS TRUST","RHU","440","452","97%","91","91","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1031","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","325","328","99%","41","41","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1032","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","402","423","95%","13","13","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1033","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","RAN","2","2","100%","0","0","-","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1034","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","152","157","97%","26","27","96%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1035","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","516","533","97%","16","16","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1036","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","125","274","46%","5","5","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1037","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","381","403","95%","55","58","95%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1038","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","551","636","87%","38","41","93%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1039","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","179","323","55%","33","34","97%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
"1040","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","415","415","100%","15","15","100%","September 2015","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2016/05/Dementia-Data-Collection-Q2-2015-16-REVISED-CSV-30KB.csv"
